system:index,DESC_TALHA,TALHAO,.geo
0,D1,41,"{""type"":""Point"",""coordinates"":[-53.175268471127225,-18.730241248610007]}"
1,F1,51,"{""type"":""Point"",""coordinates"":[-53.1825070177148,-18.709805941788115]}"
2,C3,23,"{""type"":""Point"",""coordinates"":[-53.17755119322943,-18.715279661706063]}"
3,A4,4,"{""type"":""Point"",""coordinates"":[-53.1741643350899,-18.709296667456456]}"
4,D1,41,"{""type"":""Point"",""coordinates"":[-53.17506533877311,-18.725843269317085]}"
5,F1,51,"{""type"":""Point"",""coordinates"":[-53.18141535472168,-18.70482297263665]}"
6,C3,23,"{""type"":""Point"",""coordinates"":[-53.17621515337866,-18.708219789531416]}"
7,E3,33,"{""type"":""Point"",""coordinates"":[-53.17567583063674,-18.701057829420954]}"
8,A4,4,"{""type"":""Point"",""coordinates"":[-53.17450579078038,-18.70752437013164]}"
9,B3,13,"{""type"":""Point"",""coordinates"":[-53.15882821790351,-18.75294138357368]}"
10,E4,34,"{""type"":""Point"",""coordinates"":[-53.16747452927818,-18.752940196428483]}"
11,D1,41,"{""type"":""Point"",""coordinates"":[-53.172627416669734,-18.733917737402344]}"
12,C2,22,"{""type"":""Point"",""coordinates"":[-53.16562915235264,-18.734291945656558]}"
13,D2,42,"{""type"":""Point"",""coordinates"":[-53.16696267333292,-18.742473125164807]}"
14,B2,12,"{""type"":""Point"",""coordinates"":[-53.155696545681344,-18.734610667836296]}"
15,B3,13,"{""type"":""Point"",""coordinates"":[-53.15716289512468,-18.744819158673792]}"
16,E4,34,"{""type"":""Point"",""coordinates"":[-53.16693532207349,-18.74811943142839]}"
17,C3,23,"{""type"":""Point"",""coordinates"":[-53.17227220082694,-18.717199856809117]}"
18,A4,4,"{""type"":""Point"",""coordinates"":[-53.17057979145965,-18.71012739465637]}"
19,A1,1,"{""type"":""Point"",""coordinates"":[-53.163995783193506,-18.71234656473678]}"
20,D1,41,"{""type"":""Point"",""coordinates"":[-53.172086516775956,-18.724853371151916]}"
21,C1,21,"{""type"":""Point"",""coordinates"":[-53.16253429905186,-18.719909989286478]}"
22,A2,2,"{""type"":""Point"",""coordinates"":[-53.154265381171065,-18.709378947871194]}"
23,B1,11,"{""type"":""Point"",""coordinates"":[-53.154012393643114,-18.717215402767483]}"
24,C2,22,"{""type"":""Point"",""coordinates"":[-53.16379796523026,-18.727335396684065]}"
25,B2,12,"{""type"":""Point"",""coordinates"":[-53.154812747156576,-18.726480777768447]}"
26,E2,32,"{""type"":""Point"",""coordinates"":[-53.16653950455545,-18.696161762010178]}"
27,E3,33,"{""type"":""Point"",""coordinates"":[-53.17179454803208,-18.70020954701381]}"
28,A4,4,"{""type"":""Point"",""coordinates"":[-53.16556665924316,-18.704608800995754]}"
29,E1,31,"{""type"":""Point"",""coordinates"":[-53.15846836053041,-18.69181650806296]}"
30,A3,3,"{""type"":""Point"",""coordinates"":[-53.15580030464992,-18.698743969756315]}"
31,A1,1,"{""type"":""Point"",""coordinates"":[-53.159627080286754,-18.707336086853218]}"
32,A2,2,"{""type"":""Point"",""coordinates"":[-53.154255490901534,-18.70543679527012]}"
33,E1,31,"{""type"":""Point"",""coordinates"":[-53.156249372347155,-18.68692521572479]}"
34,B2,12,"{""type"":""Point"",""coordinates"":[-53.15103491385301,-18.733131097866266]}"
35,B3,13,"{""type"":""Point"",""coordinates"":[-53.151750239053975,-18.73987005561686]}"
36,A2,2,"{""type"":""Point"",""coordinates"":[-53.15179066367642,-18.70873067141113]}"
37,B1,11,"{""type"":""Point"",""coordinates"":[-53.14906871063959,-18.714832187376587]}"
38,B2,12,"{""type"":""Point"",""coordinates"":[-53.150157611761195,-18.72552894013173]}"
39,E1,31,"{""type"":""Point"",""coordinates"":[-53.15163413377603,-18.691637600907118]}"
40,A3,3,"{""type"":""Point"",""coordinates"":[-53.1505845000879,-18.696837903312893]}"
41,A2,2,"{""type"":""Point"",""coordinates"":[-53.14920530525289,-18.703638493442345]}"
42,B1,11,"{""type"":""Point"",""coordinates"":[-53.14724406059072,-18.70742810503319]}"
