feature;importance
vl_rpm;0.39694729218841934
vl_largura_implemento;0.1574963834554654
vl_hectares_hora;0.10181215770798072
cd_equipamento_5518;0.05103256721925206
vl_temperatura_motor;0.03940816720103986
cd_equipamento_5526;0.03800525777576623
cd_equipamento_5001;0.03413697131170251
estado_processo_Efetivo;0.031183807373191017
vl_velocidade;0.029652537254821695
vl_umidade;0.02037522825238602
vl_temperatura;0.01703528359082324
estado_processo_Deslocamento;0.016561117349293095
vl_tempo_segundos;0.011468625603291918
cd_talhao_13;0.009329155154992406
hora;0.007763460170805599
cd_equipamento_5045;0.007164704358447244
dia_semana;0.006397541582535699
cd_equipamento_5016;0.005428622233628046
cd_talhao_12;0.004369764457349304
estado_processo_Manobra;0.0033302880079274016
cd_talhao_1;0.0029979065141206664
cd_talhao_3;0.002646990085769592
cd_talhao_2;0.0012536438972531947
cd_zona_1;0.0009734953438245088
cd_talhao_31;0.0008547095938542114
