feature;importance
vl_rpm;0.27975424298977786
vl_velocidade;0.16544088692976372
vl_largura_implemento;0.10784306273506389
vl_hectares_hora;0.08772512232653883
cd_equipamento_5518;0.07832047127094473
cd_equipamento_5526;0.046117165891557135
vl_temperatura_motor;0.04313631872481668
estado_processo_Efetivo;0.031697478145254816
cd_equipamento_5001;0.025805319304578567
estado_processo_Deslocamento;0.023609560086358894
cd_equipamento_5045;0.017806260380455335
vl_temperatura;0.014675352907501465
vl_tempo_segundos;0.014271294432173632
vl_umidade;0.013162597352114917
cd_equipamento_5016;0.01172058828024741
hora;0.007333160357626795
estado_processo_Manobra;0.005749543677087078
dia_semana;0.005613144038441564
cd_talhao_13;0.004538935511924034
cd_talhao_1;0.004150540154939073
cd_talhao_12;0.002243377198058295
cd_talhao_3;0.0020746749243834603
cd_talhao_2;0.001698796838663338
cd_talhao_31;0.0012278070372671545
cd_zona_*NAO_DEFINIDO*;0.0011594769613224563
cd_talhao_32;0.000893301669264986
cd_talhao_*NAO_DEFINIDO*;0.0008849107667497999
cd_zona_1;0.0008485117790251366
cd_talhao_22;0.0004833040276439107
cd_talhao_11;7.450269638737522e-06
