feature;importance
estado_processo_Parada;0.3242620841921206
vl_rpm;0.21162318148068804
vl_velocidade;0.13088067286253086
vl_temperatura_motor;0.08492117791338698
vl_tempo_segundos;0.06986126248766539
vl_hectares_hora;0.04502338205171492
estado_processo_Efetivo;0.040969584965159914
cd_zona_1;0.021521866591291017
cd_talhao_*NAO_DEFINIDO*;0.0177519673162433
estado_processo_Deslocamento;0.014083971382587736
cd_zona_*NAO_DEFINIDO*;0.01257548771442717
estado_processo_Outros;0.008202140855607826
hora;0.00527887684816733
estado_processo_Manobra;0.0036869183380804143
vl_temperatura;0.001910607310958052
cd_talhao_21;0.0016390001719474845
vl_largura_implemento;0.0014345844654439217
dia_semana;0.0010831351575546805
vl_umidade;0.0009603708135513556
cd_equipamento_5001;0.0005129108481555712
cd_talhao_1;0.0004640637683899255
cd_talhao_12;0.00036244290910255716
cd_talhao_13;0.00024364700806647587
cd_equipamento_5518;0.00022546370193447216
cd_equipamento_5016;0.00011920594164597184
