feature;importance
estado_processo_Parada;0.306626665273983
vl_rpm;0.1894548574285522
vl_velocidade;0.12499524331929007
vl_temperatura_motor;0.1161705964803521
vl_tempo_segundos;0.061073663323250746
vl_hectares_hora;0.04882132904573682
estado_processo_Efetivo;0.048729752530566016
hora;0.019263815869171832
estado_processo_Manobra;0.011301269463527093
estado_processo_Deslocamento;0.010872242577694672
cd_zona_1;0.009386179854759114
estado_processo_Outros;0.007319072365457926
vl_largura_implemento;0.00718291290273495
dia_semana;0.006455806241052526
cd_talhao_*NAO_DEFINIDO*;0.00466937979460523
cd_zona_*NAO_DEFINIDO*;0.00439628730373045
vl_temperatura;0.0037432738068204382
cd_equipamento_5518;0.0029319490585380903
vl_umidade;0.00273371735613241
cd_equipamento_5016;0.0026665505845215195
cd_equipamento_5045;0.0022203049289560703
cd_equipamento_5526;0.002208452378732441
cd_equipamento_5001;0.002083277678042392
cd_talhao_1;0.001116974554106198
cd_talhao_12;0.0009163143515164363
