hora;eventos;falhas;horas;taxa_falha
0;199;199;7.059166666666666;1.0
1;203;203;7.801388888888889;1.0
2;203;203;6.977777777777778;1.0
3;201;201;6.788333333333333;1.0
4;203;203;8.554444444444444;1.0
5;199;199;7.019444444444444;1.0
21;145;145;6.289722222222222;1.0
20;143;143;7.4688888888888885;1.0
22;145;145;7.833333333333333;1.0
23;180;180;9.403333333333332;1.0
8;22234;22020;144.38361111111112;0.990375101196366
17;15674;15521;59.41277777777778;0.9902386117136659
9;26499;26176;144.0313888888889;0.9878108607871995
16;16668;16462;76.1625;0.9876409887209023
10;18555;18311;143.1213888888889;0.986849905685799
19;346;341;7.168611111111111;0.9855491329479769
14;26564;26174;128.41333333333333;0.9853184761331125
12;35095;34544;152.7252777777778;0.9842997578002565
13;30926;30433;149.20555555555555;0.9840587208174352
18;6718;6605;27.986944444444443;0.9831795177136052
11;28280;27797;153.62222222222223;0.9829207920792079
7;11826;11622;123.06111111111112;0.9827498731608321
15;19642;19294;104.27027777777778;0.9822828632522146
6;4343;4227;57.282222222222224;0.9732903522910431
