hora;eventos;ineficientes;taxa_ineficiencia
14;21001;7357;0.3503166515880196
17;13833;4829;0.34909274922287287
7;9437;3188;0.33781922221044824
8;18341;6187;0.33733166130527237
13;25945;8710;0.3357101560994411
16;13615;4519;0.33191333088505326
9;22144;7324;0.3307442196531792
12;29593;9308;0.3145338424627446
15;15943;4960;0.3111083234021201
11;22736;6877;0.30247185080928923
10;13876;4132;0.29778034015566446
18;4728;1392;0.29441624365482233
6;2726;510;0.18708730741012472
19;117;21;0.1794871794871795
