talhao_label;horas_sem;eventos
B3;54.03888888888889;19005
B1;50.35277777777778;18437
C2;48.40277777777778;18282
C1;42.33416666666667;17260
E1;39.780833333333334;11826
C3;37.93083333333333;16145
F1;37.15638888888889;12576
A1;36.86805555555556;14040
B2;36.62638888888889;14134
E2;31.361666666666668;10626
E3;29.16777777777778;9080
A4;27.97388888888889;10111
A3;27.795833333333334;10064
SEM_TALHAO;22.89888888888889;9587
E4;18.858055555555556;5767
D2;17.3975;7611
A2;15.859444444444444;5324
D1;8.784166666666668;3010
